id,stat_type,stat_min,stat_max,skill_id,skill_damage_min,skill_damage_max,skill_chance_min,skill_chance_max
573,HP,3305,3526,,,,,
574,HIT,1308,1455,,,,,
575,,,,220000,,,8,8
576,HP,1762,4407,,,,,
577,HIT,872,1746,,,,,
578,HP,2644,3526,,,,,
579,,,,220000,,,8,8
580,HP,20492,38253,,,,,
581,DEF,1165,2114,,,,,
582,HP,32788,54647,,,,,
583,,,,220000,,,8,8
584,HP,3698,3946,,,,,
585,DEF,295,329,,,,,
586,,,,220000,,,8,8
587,HP,1972,4932,,,,,
588,DEF,197,395,,,,,
589,HP,2959,3946,,,,,
590,,,,220000,,,8,8
591,HP,22933,42809,,,,,
592,DEF,1630,2956,,,,,
593,HP,36693,61156,,,,,
594,,,,220000,,,8,8
595,HP,6155,6567,,,,,
596,SPD,1436,1596,,,,,
597,,,,220000,,,8,8
598,HP,3283,8208,,,,,
599,SPD,957,1916,,,,,
600,HP,4924,6567,,,,,
601,,,,220000,,,8,8
602,HP,38167,71247,,,,,
603,DEF,2035,3690,,,,,
604,HP,61068,101782,,,,,
605,,,,220000,,,8,8
606,HP,5749,6133,,,,,
607,ATK,562,625,,,,,
608,,,,220000,,,8,8
609,HP,3066,7666,,,,,
610,ATK,374,750,,,,,
611,HP,4599,6133,,,,,
612,,,,220000,,,8,8
613,HP,35648,66544,,,,,
614,DEF,2253,4085,,,,,
615,HP,57036,95062,,,,,
616,,,,220000,,,8,8
617,HP,4901,5229,,,,,
618,HIT,1941,2157,,,,,
619,,,,220000,,,8,8
620,HP,2614,6536,,,,,
621,HIT,1294,2589,,,,,
622,HP,3921,5229,,,,,
623,,,,220000,,,8,8
624,HP,30391,56732,,,,,
625,DEF,1728,3134,,,,,
626,HP,48626,81045,,,,,
627,,,,220000,,,8,8
628,HP,5480,5846,,,,,
629,DEF,438,488,,,,,
630,,,,220000,,,8,8
631,HP,2922,7307,,,,,
632,DEF,292,585,,,,,
633,HP,4384,5846,,,,,
634,,,,220000,,,8,8
635,HP,33979,63428,,,,,
636,DEF,2416,4380,,,,,
637,HP,54366,90611,,,,,
638,,,,220000,,,8,8
639,HP,9112,9720,,,,,
640,SPD,2126,2363,,,,,
641,,,,220000,,,8,8
642,HP,4859,12150,,,,,
643,SPD,1417,2835,,,,,
644,HP,7289,9720,,,,,
645,,,,220000,,,8,8
646,HP,56498,105465,,,,,
647,DEF,3013,5462,,,,,
648,HP,90398,150664,,,,,
649,,,,220000,,,8,8
650,HP,8519,9088,,,,,
651,ATK,833,926,,,,,
652,,,,220000,,,8,8
653,HP,4543,11360,,,,,
654,ATK,555,1111,,,,,
655,HP,6815,9088,,,,,
656,,,,220000,,,8,8
657,HP,52824,98606,,,,,
658,DEF,3339,6052,,,,,
659,HP,84518,140865,,,,,
660,,,,220000,,,8,8
661,HP,8291,8845,,,,,
662,HIT,3283,3649,,,,,
663,,,,220000,,,8,8
664,HP,4422,11056,,,,,
665,HIT,2188,4378,,,,,
666,HP,6633,8845,,,,,
667,,,,220000,,,8,8
668,HP,51409,95965,,,,,
669,DEF,2924,5301,,,,,
670,HP,82254,137092,,,,,
671,,,,220000,,,8,8
672,HP,9255,9873,,,,,
673,DEF,740,823,,,,,
674,,,,220000,,,8,8
675,HP,4936,12342,,,,,
676,DEF,493,988,,,,,
677,HP,7404,9873,,,,,
678,,,,220000,,,8,8
679,HP,57389,107127,,,,,
680,DEF,4081,7397,,,,,
681,HP,91822,153039,,,,,
682,,,,220000,,,8,8
683,HP,15389,16416,,,,,
684,SPD,3590,3990,,,,,
685,,,,220000,,,8,8
686,HP,8207,20520,,,,,
687,SPD,2393,4788,,,,,
688,HP,12311,16416,,,,,
689,,,,220000,,,8,8
690,HP,95419,178118,,,,,
691,DEF,5089,9224,,,,,
692,HP,152671,254454,,,,,
693,,,,220000,,,8,8
694,HP,14360,15318,,,,,
695,ATK,1404,1561,,,,,
696,,,,220000,,,8,8
697,HP,7658,19147,,,,,
698,ATK,936,1873,,,,,
699,HP,11488,15318,,,,,
700,,,,220000,,,8,8
701,HP,89036,166201,,,,,
702,DEF,5627,10201,,,,,
703,HP,142457,237430,,,,,
704,,,,220000,,,8,8
705,SPD,14,16,,,,,
706,HIT,28,32,,,,,
707,,,,250000,,,8,8
708,SPD,7,20,,,,,
709,HIT,18,38,,,,,
710,SPD,11,16,,,,,
711,,,,250000,,,8,8
712,SPD,388,725,,,,,
713,HIT,650,1180,,,,,
714,SPD,465,777,,,,,
715,,,,250000,,,8,8
716,SPD,14,16,,,,,
717,HIT,28,32,,,,,
718,,,,250000,,,8,8
719,SPD,7,20,,,,,
720,HIT,19,39,,,,,
721,SPD,11,16,,,,,
722,,,,250000,,,8,8
723,SPD,91,172,,,,,
724,HIT,157,286,,,,,
725,SPD,146,245,,,,,
726,,,,250000,,,8,8
727,SPD,64,69,,,,,
728,HIT,89,100,,,,,
729,,,,250000,,,8,8
730,SPD,34,87,,,,,
731,HIT,59,120,,,,,
732,SPD,51,69,,,,,
733,,,,250000,,,8,8
734,SPD,400,748,,,,,
735,HIT,494,896,,,,,
736,SPD,640,1068,,,,,
737,,,,250000,,,8,8
738,SPD,197,211,,,,,
739,HIT,253,283,,,,,
740,,,,250000,,,8,8
741,SPD,105,264,,,,,
742,HIT,169,339,,,,,
743,SPD,157,211,,,,,
744,,,,250000,,,8,8
745,SPD,1224,2286,,,,,
746,HIT,1399,2537,,,,,
747,SPD,1959,3266,,,,,
748,,,,250000,,,8,8
749,SPD,34,37,,,,,
750,HIT,64,72,,,,,
751,,,,250000,,,8,8
752,SPD,18,46,,,,,
753,HIT,42,86,,,,,
754,SPD,27,37,,,,,
755,,,,250000,,,8,8
756,SPD,211,396,,,,,
757,HIT,355,645,,,,,
758,SPD,339,566,,,,,
759,,,,250000,,,8,8
760,SPD,35,39,,,,,
761,HIT,69,77,,,,,
762,,,,250000,,,8,8
763,SPD,19,48,,,,,
764,HIT,46,93,,,,,
765,SPD,28,39,,,,,
766,,,,250000,,,8,8
767,SPD,222,415,,,,,
768,HIT,380,691,,,,,
769,SPD,355,593,,,,,
770,,,,250000,,,8,8
771,SPD,193,207,,,,,
772,HIT,269,299,,,,,
773,,,,250000,,,8,8
774,SPD,103,259,,,,,
775,HIT,179,359,,,,,
776,SPD,154,207,,,,,
777,,,,250000,,,8,8
778,SPD,1201,2243,,,,,
779,HIT,1482,2688,,,,,
780,SPD,1922,3204,,,,,
781,,,,250000,,,8,8
782,SPD,425,454,,,,,
783,HIT,547,609,,,,,
784,,,,250000,,,8,8
785,SPD,226,568,,,,,
786,HIT,364,730,,,,,
787,SPD,340,454,,,,,
788,,,,250000,,,8,8
789,SPD,2638,4927,,,,,
790,HIT,3015,5467,,,,,
791,SPD,4222,7038,,,,,
792,,,,250000,,,8,8
793,SPD,87,94,,,,,
794,HIT,164,183,,,,,
795,,,,250000,,,8,8
796,SPD,46,117,,,,,
797,HIT,109,220,,,,,
798,SPD,69,94,,,,,
799,,,,250000,,,8,8
800,SPD,541,1010,,,,,
801,HIT,906,1644,,,,,
802,SPD,865,1443,,,,,
803,,,,250000,,,8,8
804,SPD,91,98,,,,,
805,HIT,177,197,,,,,
806,,,,250000,,,8,8
807,SPD,48,123,,,,,
808,HIT,118,237,,,,,
809,SPD,73,98,,,,,
810,,,,250000,,,8,8
811,SPD,569,1064,,,,,
812,HIT,976,1770,,,,,
813,SPD,911,1519,,,,,
814,,,,250000,,,8,8
815,SPD,459,490,,,,,
816,HIT,637,709,,,,,
817,,,,250000,,,8,8
818,SPD,244,613,,,,,
819,HIT,425,851,,,,,
820,SPD,367,490,,,,,
821,,,,250000,,,8,8
822,SPD,2847,5316,,,,,
823,HIT,3514,6371,,,,,
824,SPD,4556,7594,,,,,
825,,,,250000,,,8,8
826,SPD,1214,1296,,,,,
827,HIT,1562,1736,,,,,
828,,,,250000,,,8,8
829,SPD,647,1620,,,,,
830,HIT,1041,2083,,,,,
831,SPD,971,1296,,,,,
832,,,,250000,,,8,8
833,SPD,7533,14062,,,,,
834,HIT,8609,15605,,,,,
835,SPD,12053,20089,,,,,
836,,,,250000,,,8,8
837,SPD,306,327,,,,,
838,HIT,578,643,,,,,
839,,,,250000,,,8,8
840,SPD,163,409,,,,,
841,HIT,385,771,,,,,
842,SPD,245,327,,,,,
843,,,,250000,,,8,8
844,SPD,1900,3549,,,,,
845,HIT,3185,5775,,,,,
846,SPD,3041,5069,,,,,
847,,,,250000,,,8,8
848,SPD,494,528,,,,,
849,DEF,233,260,,,,,
850,,,,250000,,,8,8
851,SPD,263,660,,,,,
852,DEF,155,312,,,,,
853,SPD,395,528,,,,,
854,,,,250000,,,8,8
855,SPD,3069,5729,,,,,
856,HIT,5261,9537,,,,,
857,SPD,4910,8185,,,,,
858,,,,250000,,,8,8
859,SPD,618,660,,,,,
860,HP,3818,4243,,,,,
861,,,,250000,,,8,8
862,SPD,329,825,,,,,
863,HP,2545,5092,,,,,
864,SPD,494,660,,,,,
865,,,,250000,,,8,8
866,SPD,3836,7162,,,,,
867,HIT,4735,8583,,,,,
868,SPD,6138,10231,,,,,
869,,,,250000,,,8,8
870,SPD,742,792,,,,,
871,ATK,233,260,,,,,
872,,,,250000,,,8,8
873,SPD,395,990,,,,,
874,ATK,155,312,,,,,
875,SPD,593,792,,,,,
876,,,,250000,,,8,8
877,SPD,4603,8594,,,,,
878,HIT,5261,9537,,,,,
879,SPD,7365,12277,,,,,
880,,,,250000,,,8,8
881,SPD,1316,1404,,,,,
882,HIT,2482,2758,,,,,
883,,,,250000,,,8,8
884,SPD,701,1755,,,,,
885,HIT,1654,3310,,,,,
886,SPD,1052,1404,,,,,
887,,,,250000,,,8,8
888,SPD,8160,15234,,,,,
889,HIT,13679,24794,,,,,
890,SPD,13057,21763,,,,,
891,,,,250000,,,8,8
